weapon_class	parent	stat	data_table	row	column
borg_grenade	Grenade	damage	GrenadeMod_Stats	Damage	Borg
borg_grenade	Grenade	force	GrenadeMod_Stats	Force	Borg
borg_grenade	Grenade	critical_chance	GrenadeMod_Stats	CritChance	Borg
borg_grenade	Grenade	critical_damage	GrenadeMod_Stats	CritDamage	Borg
borg_grenade	Grenade	splash_radius	GrenadeMod_Stats	Radius	Borg
borg_grenade	Grenade	status_chance	GrenadeMod_Stats	StatusChance	Borg
borg_grenade	Grenade	status_charge	GrenadeMod_Stats	CryoImpact	Borg
borg_grenade	Grenade	status_damage	GrenadeMod_Stats		Borg
borg_grenade	Grenade	cooldown	GrenadeMod_Stats	Cooldown	Borg
borg_grenade	Grenade	projectile_speed	GrenadeMod_Stats	ProjectileSpeed	Borg
borg_heavy_weapon	heavy_weapon	damage	Heavy_Weapon_Stats	Damage	Borg
borg_heavy_weapon	heavy_weapon	fire_rate	Heavy_Weapon_Stats	Fire_Rate	Borg
borg_heavy_weapon	heavy_weapon	burst_fire_delay	Heavy_Weapon_Stats	Burst_Fire_Delay	Borg
borg_heavy_weapon	heavy_weapon	charge_time	Heavy_Weapon_Stats	Charge_Time	Borg
borg_heavy_weapon	heavy_weapon	spinup_time	Heavy_Weapon_Stats	Charge_Time	Borg
borg_heavy_weapon	heavy_weapon	max_accuracy	Heavy_Weapon_Stats	Max_Accuracy	Borg
borg_heavy_weapon	heavy_weapon	spread	Heavy_Weapon_Stats	Spread	Borg
borg_heavy_weapon	heavy_weapon	accuracy_impluse	Heavy_Weapon_Stats	Accuracy_Impulse	Borg
borg_heavy_weapon	heavy_weapon	accuracy_burst_impluse	Heavy_Weapon_Stats	Accuracy_Burst_Impulse	Borg
borg_heavy_weapon	heavy_weapon	recoil_height	Heavy_Weapon_Stats	Recoil_Height	Borg
borg_heavy_weapon	heavy_weapon	recoil_width	Heavy_Weapon_Stats	Recoil_Width	Borg
borg_heavy_weapon	heavy_weapon	projectile_speed	Heavy_Weapon_Stats	Projectile_Speed	Borg
borg_heavy_weapon	heavy_weapon	acc_sway_zoom_scale	Heavy_Weapon_Stats	Acc_Sway_Scale	Borg
borg_heavy_weapon	heavy_weapon	acc_sway_accuracy_scale	Heavy_Weapon_Stats	Acc_Sway_Scale	Borg
borg_heavy_weapon	heavy_weapon	acc_sway_zoom_accuracy_scale	Heavy_Weapon_Stats	Acc_Sway_Scale	Borg
borg_heavy_weapon	heavy_weapon	critical_damage	Heavy_Weapon_Stats	Critical_Damage	Borg
borg_heavy_weapon	heavy_weapon	damage_radius	Heavy_Weapon_Stats	Damage_Radius	Borg
borg_heavy_weapon	heavy_weapon	ads_speed	Heavy_Weapon_Stats	Zoom_Speed	Borg
borg_heavy_weapon	heavy_weapon	sway_zoom_scale	Heavy_Weapon_Stats	Sway_Scale	Borg
borg_heavy_weapon	heavy_weapon	sway_accuracy_scale	Heavy_Weapon_Stats	Sway_Scale	Borg
borg_heavy_weapon	heavy_weapon	sway_zoom_accuracy_scale	Heavy_Weapon_Stats	Sway_Scale	Borg
borg_heavy_weapon	heavy_weapon	max_loaded_ammo	Heavy_Weapon_Stats	Max_Loaded_Ammo	Borg
borg_heavy_weapon	heavy_weapon	heat_per_shot	Heavy_Weapon_Stats	Heat_Per_Shot	Borg
borg_heavy_weapon	heavy_weapon	elemental_damage	Heavy_Weapon_Stats	Elemental_Damage	Borg
borg_heavy_weapon	heavy_weapon	elemental_charge	Heavy_Weapon_Stats	CryoImpact	Borg
borg_heavy_weapon	heavy_weapon	elemental_chance	Heavy_Weapon_Stats	Elemental_Chance	Borg
borg_heavy_weapon	heavy_weapon	cooldown_reduction	Heavy_Weapon_Stats	Cooldown_Reduction	Borg
borg_weapon	weapon	damage	Weapon_Stats	Damage	Borg
borg_weapon	weapon	fire_rate	Weapon_Stats	Fire_Rate	Borg
borg_weapon	weapon	burst_fire_delay	Weapon_Stats	Burst_Fire_Delay	Borg
borg_weapon	weapon	charge_time	Weapon_Stats	Charge_Time	Borg
borg_weapon	weapon	spinup_time	Weapon_Stats	Charge_Time	Borg
borg_weapon	weapon	max_accuracy	Weapon_Stats	Max_Accuracy	Borg
borg_weapon	weapon	spread	Weapon_Stats	Spread	Borg
borg_weapon	weapon	accuracy_impluse	Weapon_Stats	Accuracy_Impulse	Borg
borg_weapon	weapon	accuracy_burst_impluse	Weapon_Stats	Accuracy_Burst_Impulse	Borg
borg_weapon	weapon	recoil_height	Weapon_Stats	Recoil_Height	Borg
borg_weapon	weapon	recoil_width	Weapon_Stats	Recoil_Width	Borg
borg_weapon	weapon	projectile_speed	Weapon_Stats	Projectile_Speed	Borg
borg_weapon	weapon	acc_sway_zoom_scale	Weapon_Stats	Acc_Sway_Scale	Borg
borg_weapon	weapon	acc_sway_accuracy_scale	Weapon_Stats	Acc_Sway_Scale	Borg
borg_weapon	weapon	acc_sway_zoom_accuracy_scale	Weapon_Stats	Acc_Sway_Scale	Borg
borg_weapon	weapon	critical_damage	Weapon_Stats	Critical_Damage	Borg
borg_weapon	weapon	damage_radius	Weapon_Stats	Damage_Radius	Borg
borg_weapon	weapon	ted_thrown_radius	Weapon_Stats	Damage_Radius	Borg
borg_weapon	weapon	ads_speed	Weapon_Stats	Zoom_Speed	Borg
borg_weapon	weapon	sway_zoom_scale	Weapon_Stats	Sway_Scale	Borg
borg_weapon	weapon	sway_accuracy_scale	Weapon_Stats	Sway_Scale	Borg
borg_weapon	weapon	sway_zoom_accuracy_scale	Weapon_Stats	Sway_Scale	Borg
borg_weapon	weapon	max_loaded_ammo	Weapon_Stats	Max_Loaded_Ammo	Borg
borg_weapon	weapon	heat_per_shot	Weapon_Stats	Heat_Per_Shot	Borg
borg_weapon	weapon	min_shots_to_break	Weapon_Stats	Heat_Per_Shot	Borg
borg_weapon	weapon	max_shots_to_break	Weapon_Stats	Heat_Per_Shot	Borg
borg_weapon	weapon	reload_time	Weapon_Stats	Reload_Time	Borg
borg_weapon	weapon	status_damage	Weapon_Stats	Status_Damage	Borg
borg_weapon	weapon	status_chance	Weapon_Stats	Status_Chance	Borg
borg_weapon	weapon	equip_time	Weapon_Stats	Equip_Time	Borg
borg_weapon	weapon	put_down_time	Weapon_Stats	PutDown_Time	Borg
borg_weapon	weapon	modeswitch_time	Weapon_Stats	ModeSwitch_Time	Borg
borg_weapon	weapon	status_charge	Weapon_Stats		Borg
borg_weapon	weapon	elemental_damage	Weapon_Stats		Borg
borg_weapon	weapon	elemental_chance	Weapon_Stats		Borg
daedalus_grenade	Grenade	damage	GrenadeMod_Stats	Damage	Daedalus
daedalus_grenade	Grenade	force	GrenadeMod_Stats	Force	Daedalus
daedalus_grenade	Grenade	critical_chance	GrenadeMod_Stats	CritChance	Daedalus
daedalus_grenade	Grenade	critical_damage	GrenadeMod_Stats	CritDamage	Daedalus
daedalus_grenade	Grenade	splash_radius	GrenadeMod_Stats	Radius	Daedalus
daedalus_grenade	Grenade	status_chance	GrenadeMod_Stats	StatusChance	Daedalus
daedalus_grenade	Grenade	status_charge	GrenadeMod_Stats	CryoImpact	Daedalus
daedalus_grenade	Grenade	status_damage	GrenadeMod_Stats	StatusDamage	Daedalus
daedalus_grenade	Grenade	cooldown	GrenadeMod_Stats	Cooldown	Daedalus
