row_name	none
Body_Mod_Elemental	0.250000
Barrel_Mod_Hyp	0.375000
Barrel_Mod_Jak	0.375000
Barrel_Mod_Ted	0.037500
Barrel_Mod_Ted_Combo	0.037500
Barrel_Mod_Ted_MIRV	0.037500
Barrel_Mod_Ted_Shooting	0.037500
Barrel_Mod_Ted_Multi	0.075000
Mag_Torgue	0.325000
Mag_COV	0.325000
Mag_Borg	0.325000
HypShield_Default	3.000000
HypShield_Reflect	1.000000
HypShield_Absorb	1.000000
HypShield_Amp	1.000000
Grip_Ted_Homing	0.375000
Grip_Ted_Legs	0.375000
Grip_Ted_Javelin	0.375000
Grip_Hyp	0.300000
Underbarrel_Default	0.400000
Underbarrel_Atlas	0.400000
Underbarrel_Dad	0.400000
Underbarrel_Mal	0.400000
