row_name	damage_scale	impact_force_scale
DAD_AR_Barrel_01	0.850000	
DAD_AR_Barrel_02	0.850000	
JAK_AR_Barrel_01	0.850000	
JAK_AR_Barrel_02	0.850000	
ORD_AR_Barrel_01	0.850000	
ORD_AR_Barrel_02	0.850000	
TED_AR_Barrel_01	0.850000	
TED_AR_Barrel_02	0.850000	
TOR_AR_Barrel_01	0.850000	
TOR_AR_Barrel_02	0.850000	
VLA_AR_Barrel_01	0.850000	
VLA_AR_Barrel_02	0.850000	
DAD_PS_Barrel_01	0.850000	
DAD_PS_Barrel_02	0.850000	
JAK_PS_Barrel_01	0.850000	
JAK_PS_Barrel_02	0.850000	
ORD_PS_Barrel_01	0.850000	
ORD_PS_Barrel_02	0.850000	
TED_PS_Barrel_01	0.850000	
TED_PS_Barrel_02	0.850000	
TOR_PS_Barrel_01	0.850000	
TOR_PS_Barrel_02	0.850000	
BOR_SG_Barrel_01	0.850000	
BOR_SG_Barrel_02	0.850000	
DAD_SG_Barrel_01	0.850000	
DAD_SG_Barrel_02	0.850000	
JAK_SG_Barrel_01	0.850000	
JAK_SG_Barrel_02	0.850000	
MAL_SG_Barrel_01	0.850000	0.100000
MAL_SG_Barrel_02	0.850000	
TED_SG_Barrel_01	0.850000	
TED_SG_Barrel_02	0.850000	
TOR_SG_Barrel_01	0.850000	
TOR_SG_Barrel_02	0.850000	
BOR_SM_Barrel_01	0.850000	
BOR_SM_Barrel_02	0.850000	
DAD_SM_Barrel_01	0.850000	
DAD_SM_Barrel_02	0.850000	
MAL_SM_Barrel_01	0.850000	
MAL_SM_Barrel_02	0.850000	
VLA_SM_Barrel_01	0.850000	
VLA_SM_Barrel_02	0.850000	
BOR_SR_Barrel_01	0.850000	
BOR_SR_Barrel_02	0.850000	
JAK_SR_Barrel_01	0.850000	
JAK_SR_Barrel_02	0.850000	
MAL_SR_Barrel_01	0.850000	
MAL_SR_Barrel_02	0.850000	0.100000
ORD_SR_Barrel_01	0.850000	
ORD_SR_Barrel_02	0.850000	
VLA_SR_Barrel_01	0.850000	
VLA_SR_Barrel_02	0.850000	
BOR_HW_Barrel_01	0.850000	
BOR_HW_Barrel_02	0.850000	
MAL_HW_Barrel_01	0.850000	
MAL_HW_Barrel_02	0.850000	
TOR_HW_Barrel_01	0.850000	
TOR_HW_Barrel_02	0.850000	
VLA_HW_Barrel_01	0.850000	0.500000
VLA_HW_Barrel_02	0.850000	0.250000
