row_name	value
VPN_Cooldown	40.000000
VPN_Duration	25.000000
VPN_MovementSpeed	0.300000
VPN_StealthDuration	3.000000
VPN_BaseFunctionCooldown	4.000000
VPN_BaseFunctionDamageMultiplier	0.500000
VPN_CriticalHitDamage	0.250000
VPN_BaseFunction_Height	200.000000
VPN_BaseFunction_WedgeAngle	90.000000
VPN_BaseFunction_Radius	200.000000
VPN_CloneDuration	6.000000
VPN_MaxClones	1.000000
VPN_OffTheGrid_InvisibilityDuration	5.000000
VPN_OffTheGrid_TrackedShots	3.000000
VPN_OffTheGrid_ActionSkillDuration	0.250000
VPN_InformationOverload_ExplosionChance	0.050000
VPN_InformationOverload_ExplosionDamageMult	0.400000
VPN_InformationOverload_ExplosionRadius	540.000000
VPN_Capstone_Redirect_ImpactDamageMult	0.350000
VPN_Capstone_Redirect_Cooldown	15.000000
VPN_Capstone_AG_Cooldown	30.000000
VPN_Capstone_AG_DamageMultiplier	2.500000
VPN_Capstone_AG_BaseShotCount	3.000000
VPN_Capstone_AG_ShotsPerClone	3.000000
VPN_Capstone_AG_ProjectileSpeed	0.500000
VPN_Augment_Compile_CritDamageIncrease	1.500000
VPN_Augment_Compile_MaxIncreaseOverkillMultiplier	0.100000
VPN_Augment_Malware_DamageTaken_Multiplier	0.150000
VPN_Augment_Malware_Duration	15.000000
VPN_Augment_Malware_MaxStacks	3.000000
VPN_Augment_Malware_RadiationDamageTaken_Multiplier	0.150000
VPN_Capstone_Synchronism_Radius	540.000000
VPN_Capstone_Synchronism_DamageMultiplier	0.300000
VPN_Augment_BM_Cooldown	15.000000
VPN_Augment_BM_Hit2_DamageMultiplier	0.750000
VPN_Augment_BM_Hit3_DamageMultiplier	0.200000
VPN_Augment_BM_Hit3_AoERadius	360.000000
VPN_Capstone_AG_MaxShots	12.000000
VPN_Augment_BM_MovementSpeed	1.000000
VPN_Augment_BM_Hit3_ProjDamageMultiplier	0.800000
VPN_Augment_BM_Hit3_ProjHeight	150.000000
VPN_Augment_BM_Hit3_ProjWidth	868.000000
VPN_Augment_BM_Hit3_ProjDepth	868.000000
VPN_Clone_MiniShurikenDamage	0.150000
VPN_Clone_MiniShurikenSpeed	5000.000000
