row_name	none
UniversalPriceScalar	1.120000
Weapon	100.000000
Shield	50.000000
Grenade	75.000000
HeavyWeapon	165.000000
Terminal	120.000000
Turret	125.000000
Repkit	75.000000
Enhancement	80.000000
ClassMod	115.000000
Multiplier_Rarity_Common	1.000000
Multiplier_Rarity_Uncommon	1.300000
Multiplier_Rarity_Rare	1.850000
Multiplier_Rarity_Epic	2.500000
Multiplier_Rarity_Legendary	3.750000
Multiplier_GunType_AssaultRifle	1.450000
Multiplier_GunType_Pistol	1.000000
Multiplier_GunType_Shotgun	1.200000
Multiplier_GunType_SMG	1.200000
Multiplier_GunType_SniperRifle	1.750000
