row_name	value
Contagion_Cooldown	25.000000
Contagion_Impact_DamageMultiplier	0.520000
Contagion_DefaultCharges	1.000000
Contagion_DoT_DamageMultiplier	0.040000
Contagion_DoT_Duration	15.000000
Contagion_Impact_Radius	512.000000
Contagion_DamageTakenIncrease	0.100000
Contagion_MaxStacks	20.000000
Contagion_DoT_AoERadius	512.000000
Contagion_BaseExecutable_DamageMultiplier	0.700000
Contagion_BaseExecutable_Cooldown	30.000000
Contagion_BaseExecutable_ExplosionRadius	768.000000
Augment_Recursion_ExecutableRefund	0.200000
Augment_Recursion_ContagionRefund	0.200000
Augment_LetItRip_FieldDuration	12.000000
Augment_LetItRip_Radius	384.000000
Augment_LetItRip_DamageMultiplier	0.250000
Augment_LetItRip_NovaDamageMultiplier	0.250000
Augment_ExplosiveShuriken_ExectuableDamageMultiplier	0.625000
Capstone_DaisyChain_ExplosionTimer	2.000000
Augment_ExplosiveShuriken_MiniShuriken_Radius	384.000000
Augment_ExplosiveShuriken_MiniShuriken_DamageMult	0.200000
Augment_ExplosiveShuirken_MiniShuriken_Count	2.000000
Augment_LagSwitch_ProjSpeedScalar	0.050000
Augment_LagSwitch_ContagionProcChance	0.300000
Augment_LagSwitch_FieldDamageMultiplier	0.150000
Augment_Propagate_ASCooldownPerInfectedActor	0.050000
Capstone_Replicate_DamageMultiplier	0.250000
Capstone_Replicate_ContagionProcChance	0.330000
Capstone_Replicate_DroneRadius	32.000000
Capstone_Replicate_DroneLifetime	25.000000
Capstone_Replicate_Cooldown	60.000000
Capstone_Replicate_MaxCharges	3.000000
Capstone_Proliferate_Cooldown	30.000000
Capstone_Proliferate_OvershieldMultiplier	0.050000
Augment_DefilePath_MaxBounces	5.000000
Augment_DefilePath_HazardDMGMultiplier	0.050000
Contagion_MaxSpreadDistance	4000.000000
