row_name	none
AI_AdditionalDamagePerLevel	0.030000
AI_AdditionalHealthPerLevel	0.020000
AI_EnemyHealthBase	80.000000
AI_EnemyDamageLevelBased	80.000000
IO_HealthBase	30.000000
IO_DamageBase	80.000000
PlayerHealthBase	80.000000
PlayerRepKitBaseHealing	80.000000
PlayerShieldBase	100.000000
PlayerShieldRegenDelayBase	4.500000
PlayerShieldRegenScale	0.180000
PlayerShieldBaseDamage	100.000000
PlayerShieldChargeTakeDamageScale	0.350000
PlayerShieldChargeDoDamageScale	0.200000
PlayerShieldArmorBaseChance	0.250000
PlayerGrenadeBaseDamage	80.000000
PlayerOvershieldBase	100.000000
PlayerHeavyBaseDamage	60.000000
PlayerTurretBaseDamage	10.000000
PlayerTerminalHealScale	0.075000
PlayerTermianlBarrierHealth	200.000000
PlayerTerminalDamageScale	5.000000
PlayerMeleeBaseDamage	40.000000
PlayerSlamBaseDamage	95.000000
PlayerActionSkillBaseDamage	120.000000
PlayerFirmwareDamage	35.000000
Vehicle_HealthBase	290.000000
Vehicle_HealthScaler	1.000000
Vehicle_WeaponBaseDamage	7.000000
Vehicle_CollisionBaseDamage	5.000000
PlayerWeaponElementalDamageScalar	0.800000
Vehicle_Weapon_SMG_DamageScale	0.400000
Vehicle_Weapon_RPG_DamageScale	1.000000
PlayerShield_Element_DamageReduction	-0.150000
